epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6519,2.49856,2.97851,1.1995,0.0221,0.87583,0.0278,0.01039,1.97141,3.25699,1.03763,0.00048,0.00048,0.00048
2,20.5574,2.10639,1.63553,1.06466,0.023,0.91149,0.32836,0.08924,2.03771,3.02912,1.04885,0.000955745,0.000955745,0.000955745
3,31.2694,2.07431,1.41885,1.05756,0.73553,0.3674,0.59212,0.18907,1.98747,2.32182,1.05636,0.00140674,0.00140674,0.00140674
4,39.9237,2.03648,1.30439,1.04484,0.71355,0.78336,0.74765,0.26458,2.06888,1.52517,1.06615,0.00183299,0.00183299,0.00183299
5,51.5344,2.06445,1.30546,1.03569,0.71218,0.75826,0.78717,0.29871,1.95835,1.28214,1.03916,0.001802,0.001802,0.001802
6,62.4764,1.98989,1.21585,1.04573,0.74012,0.81374,0.82272,0.33417,1.93542,1.17052,1.0327,0.0017525,0.0017525,0.0017525
7,76.1828,1.98864,1.1872,1.03208,0.75216,0.80713,0.79319,0.31932,1.97007,1.17589,1.03785,0.001703,0.001703,0.001703
8,86.34,1.97875,1.14319,1.04308,0.79596,0.85601,0.8554,0.35589,1.9311,1.06408,1.02722,0.0016535,0.0016535,0.0016535
9,96.5012,1.95854,1.1029,1.02559,0.79024,0.80978,0.80176,0.30846,1.99663,1.07625,1.04652,0.001604,0.001604,0.001604
10,106.294,1.96641,1.0879,1.03533,0.7988,0.82299,0.82571,0.31686,2.01833,1.09668,1.04963,0.0015545,0.0015545,0.0015545
11,117.128,1.98569,1.10015,1.03013,0.75784,0.80449,0.81316,0.31128,1.96384,1.22095,1.03611,0.001505,0.001505,0.001505
12,127.655,1.95251,1.11126,1.02179,0.76252,0.87803,0.8572,0.33276,1.95261,1.05438,1.02057,0.0014555,0.0014555,0.0014555
13,135.914,1.9219,1.03047,1.01458,0.87449,0.87318,0.9034,0.39252,1.87199,0.94469,1.0174,0.001406,0.001406,0.001406
14,147.593,1.9275,1.02243,1.01748,0.87244,0.87979,0.90516,0.39395,1.85651,0.94107,1.01323,0.0013565,0.0013565,0.0013565
15,158.24,1.90873,0.99194,1.03111,0.86173,0.87318,0.8897,0.38786,1.89609,0.97506,1.01718,0.001307,0.001307,0.001307
